N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
1,991.9582103026681,2200.7887731415894,-1208.8305628389212,-0.5492715055581348,0.5492715055581348,26.858321673979553,0.04912817548386111,,0.9973502191751479
2,991.9601459810465,2200.7887731415894,-1208.828627160543,-0.5492706260196702,0.5492706260196702,26.857416198024737,0.04912651922320027,1.9513708926855456e-06,0.9973503978365258
3,991.9601695926914,2200.7887731415894,-1208.8286035488982,-0.5492706152909511,0.5492706152909511,26.85741116594053,0.04912651001871166,2.3803017693406476e-08,0.9973503988294
4,1044.97595581105,2200.7887731415894,-1155.8128173305395,-0.5251811675141526,0.5251811675141526,19.82101700966027,0.03625581723755205,0.05344547880397999,0.9985568745703082
5,1045.4315081137236,2200.7887731415894,-1155.3572650278659,-0.5249741725002589,0.5249741725002589,19.77591190579247,0.03617331277264418,0.0004359452484435607,0.9985634351075069
6,1244.0271676796112,2200.7887731415894,-956.7616054619782,-0.4347357716189259,0.4347357716189259,10.615203839718761,0.019416909342473778,0.18996525169230324,0.999586087170861
7,1243.9726546137522,2200.7887731415894,-956.8161185278373,-0.4347605414044339,0.4347605414044339,10.60937421883618,0.01940624603144488,4.381983551109594e-05,0.9995865416684551
8,1243.9749637836953,2200.7887731415894,-956.8138093578941,-0.4347594921579222,0.4347594921579222,10.609365917127603,0.019406230846289205,1.8562867395691293e-06,0.999586542315507
9,1247.870849566883,2200.7887731415894,-952.9179235747065,-0.432989269667362,0.432989269667362,10.59106066143464,0.0193727475994625,0.0031318040126288643,0.9995879678331946
10,1292.7361383762614,2200.7887731415894,-908.0526347653281,-0.41260326563239325,0.41260326563239325,7.659443249140726,0.014010349441045546,0.03595347132674063,0.9997845003264777
11,1292.0583897938714,2200.7887731415894,-908.7303833477181,-0.41291122275697567,0.41291122275697567,7.655301787182181,0.014002774043285073,0.0005242744921181517,0.9997847333048777
12,1390.3881223307712,2200.7887731415894,-810.4006508108182,-0.3682319088051257,0.3682319088051257,3.1124642553841624,0.005693196022516095,0.0761031647746097,0.9999644154927642
13,1390.3666540517474,2200.7887731415894,-810.422119089842,-0.36824166361634875,0.36824166361634875,3.1124325757253413,0.005693138075342153,1.5440493685895954e-05,0.9999644162171415
14,1390.586785119229,2200.7887731415894,-810.2019880223604,-0.36814163990204773,0.36814163990204773,3.1082970005835406,0.005685573445513108,0.00015832591125520165,0.9999645107166283
15,1398.031803427966,2200.7887731415894,-802.7569697136234,-0.3647587535480296,0.3647587535480296,3.025485812558803,0.005534098508743408,0.0053538681572460264,0.9999663765360978
16,1400.8025560247156,2200.7887731415894,-799.9862171168738,-0.3634997719362712,0.3634997719362712,2.976976178432534,0.005445366612277886,0.0019818952544253623,0.9999674461071218
17,1399.6065988156229,2200.7887731415894,-801.1821743259666,-0.3640431940146134,0.3640431940146134,2.9714229389988605,0.005435208847220446,0.0008537657244763324,0.9999675674456467
