N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
1,1087.8869285789822,2035.6185215208232,-947.731592941841,-0.4655742630175053,0.4655742630175053,83.68025189676113,0.12775191476761263,,0.9779200966982378
2,1280.9387388102643,2035.6185215208232,-754.6797827105588,-0.37073733350919447,0.37073733350919447,45.20310600294234,0.06901010948728709,0.17745576783742587,0.9935570054546062
3,1409.7575426474245,2035.6185215208232,-625.8609788733986,-0.30745494416400476,0.30745494416400476,34.60038835660299,0.05282328582988084,0.1005659364762495,0.9962250330291884
4,1527.1927936616526,2035.6185215208232,-508.4257278591706,-0.2497647385716075,0.2497647385716075,23.211795075423193,0.035436691439901476,0.08330173626430326,0.998301096680613
5,1634.4673841080005,2035.6185215208232,-401.15113741282266,-0.19706596946913224,0.19706596946913224,16.65005253586001,0.025419092847159434,0.0702429915146093,0.9991258571176113
6,1648.0138657487198,2035.6185215208232,-387.60465577210334,-0.19041124438311827,0.19041124438311827,15.822202944462441,0.024155241842371545,0.008288009765402704,0.9992106218320639
7,1654.6078378916477,2035.6185215208232,-381.01068362917545,-0.18717194778937266,0.18717194778937266,13.421729772968083,0.02049051764454014,0.004001163024154621,0.9994319740316434
8,1732.8901688082472,2035.6185215208232,-302.728352712576,-0.14871566038139886,0.14871566038139886,10.596265600081328,0.016176973528553282,0.04731171285659399,0.9996459562920976
9,1759.6455925077807,2035.6185215208232,-275.9729290130424,-0.13557202692715792,0.13557202692715792,8.3872229980898,0.012804500145516422,0.015439768879255621,0.9997781866966372
10,1775.7651952758865,2035.6185215208232,-259.8533262449366,-0.1276532530519513,0.1276532530519513,7.7777141036953035,0.011873982770606351,0.00916070988200114,0.9998092541228849
11,1789.5941226695636,2035.6185215208232,-246.02439885125955,-0.1208597761566117,0.1208597761566117,6.984103361732656,0.010662403101953391,0.007787587813110948,0.9998461942663531
12,1819.461800222748,2035.6185215208232,-216.15672129807513,-0.10618724432541668,0.10618724432541668,5.697369601181514,0.008697988583826186,0.016689637708817668,0.9998976471364702
13,1844.1899581478733,2035.6185215208232,-191.42856337294984,-0.09403950757430345,0.09403950757430345,4.842038037001458,0.007392181746389927,0.013590918986096844,0.9999260722305446
14,1858.4866275839177,2035.6185215208232,-177.1318939369055,-0.08701625184888236,0.08701625184888236,4.52575889998727,0.006909328690396981,0.007752275937128807,0.9999354146469944
15,1861.1258264240405,2035.6185215208232,-174.49269509678265,-0.08571974230535989,0.08571974230535989,4.426559927806414,0.006757884850878926,0.0014200795426512558,0.9999382148784033
16,1882.949381231872,2035.6185215208232,-152.6691402889512,-0.07499889526201164,0.07499889526201164,3.7725819260722364,0.005759477938331474,0.011725996436126583,0.9999551225089567
17,1892.122424800032,2035.6185215208232,-143.49609672079123,-0.07049262678823752,0.07049262678823752,3.494387917028146,0.005334768206624313,0.004871635775019481,0.9999614971001802
18,1900.695815057505,2035.6185215208232,-134.92270646331826,-0.06628093871071515,0.06628093871071515,3.1921166216440056,0.004873300466156084,0.004531097007837133,0.9999678701492194
19,1909.5072438022573,2035.6185215208232,-126.11127771856582,-0.06195231394551633,0.06195231394551633,2.9290125753913463,0.004471628089101676,0.004635896325412734,0.9999729483548494
20,1914.769247774236,2035.6185215208232,-120.84927374658719,-0.0593673482869963,0.0593673482869963,2.7384501333339477,0.004180702616199661,0.002755686834421638,0.99997635382588
21,1919.6356843656968,2035.6185215208232,-115.98283715512639,-0.05697670557078391,0.05697670557078391,2.629735597518043,0.004014731675640249,0.0025415263991301483,0.999978194031525
